
10th_Percentage,12th_Percentage,BTech_Percentage,Nationality,Income,Physically_Disabled,Extracurricular,Gender,Caste,Scholarship_Eligibility
88,92,84,Indian,260000,Yes,Yes,Female,General,1
77,85,80,Non-Indian,340000,Yes,Yes,Male,ST,0
85,90,83,Indian,220000,No,Yes,Female,SC,1
70,75,72,Non-Indian,300000,Yes,Yes,Male,BC,0
79,85,81,Indian,250000,No,No,Female,General,1
65,70,69,Non-Indian,400000,No,No,Male,SC,0
88,92,89,Indian,230000,Yes,Yes,Female,BC,1
72,78,75,Non-Indian,320000,No,No,Male,ST,0
75,82,77,Indian,250000,No,Yes,Female,General,1
82,85,80,Non-Indian,300000,Yes,No,Male,BC,1
88,92,85,Indian,220000,No,Yes,Female,ST,0
70,80,75,Non-Indian,250000,Yes,No,Male,SC,0
75,85,80,Indian,260000,Yes,No,Female,General,1
65,75,72,Non-Indian,350000,Yes,Yes,Male,BC,0
80,85,82,Indian,240000,No,Yes,Female,ST,0
79,80,79,Non-Indian,300000,Yes,No,Male,General,1
70,75,70,Indian,220000,Yes,Yes,Female,BC,1
85,92,88,Non-Indian,380000,No,Yes,Male,SC,0
78,85,80,Indian,250000,Yes,No,Female,ST,0
88,90,85,Non-Indian,300000,No,Yes,Male,General,1
79,85,77,Indian,230000,Yes,Yes,Female,SC,0
72,80,75,Non-Indian,300000,Yes,No,Male,ST,1
85,88,84,Indian,210000,Yes,Yes,Female,BC,1
78,85,80,Non-Indian,240000,No,Yes,Male,SC,0
70,75,73,Indian,320000,No,Yes,Female,ST,0
82,88,85,Non-Indian,220000,Yes,No,Male,General,1
75,80,78,Indian,250000,Yes,Yes,Female,BC,1
88,92,85,Non-Indian,270000,No,Yes,Male,ST,0
70,80,75,Indian,240000,No,Yes,Female,General,1
78,85,80,Non-Indian,310000,Yes,Yes,Male,BC,0
85,90,82,Indian,230000,No,Yes,Female,SC,1
72,80,75,Non-Indian,350000,No,Yes,Male,ST,0
88,92,85,Indian,220000,Yes,No,Female,General,1
77,80,78,Non-Indian,240000,No,No,Male,BC,0
80,85,80,Indian,300000,Yes,No,Female,SC,1
85,88,84,Non-Indian,280000,Yes,No,Male,ST,0
75,80,77,Indian,320000,No,Yes,Female,General,1
82,85,80,Non-Indian,270000,Yes,Yes,Male,SC,1
88,92,85,Indian,210000,No,Yes,Female,BC,0
85,90,82,Non-Indian,240000,Yes,Yes,Male,SC,0
70,75,73,Indian,220000,Yes,No,Female,ST,1
79,85,80,Non-Indian,310000,Yes,No,Male,BC,1
75,80,79,Indian,300000,No,Yes,Female,General,0
80,85,80,Non-Indian,240000,Yes,Yes,Male,ST,1
88,92,84,Indian,270000,No,Yes,Female,BC,0
72,80,75,Non-Indian,350000,Yes,No,Male,SC,1
85,88,85,Indian,260000,No,Yes,Female,ST,0
78,85,80,Non-Indian,320000,Yes,No,Male,BC,0
77,82,79,Indian,280000,No,Yes,Female,General,1
88,92,84,Non-Indian,290000,Yes,No,Male,SC,0
80,85,81,Indian,220000,No,Yes,Female,BC,1
82,85,80,Non-Indian,330000,Yes,No,Male,ST,0
85,92,88,Indian,250000,No,Yes,Female,SC,1
77,80,77,Non-Indian,300000,Yes,No,Male,General,0
